ID,anio,mes,Sexo,Edad,region,PEA,Desempleo,Salario
117981,2022,1,2,61,1,0,0,0
117982,2022,1,2,90,1,0,0,0
117991,2022,1,1,62,1,1,0,166689.48
117992,2022,1,2,67,1,0,0,0
117993,2022,1,2,30,1,1,0,85689.48
118001,2022,1,1,77,1,0,0,0
118002,2022,1,2,76,1,0,0,0
118011,2022,1,1,71,1,0,0,0
118012,2022,1,2,70,1,0,0,0
118021,2022,1,1,55,1,1,0,165972.48
118022,2022,1,1,25,1,1,0,48189.48
118031,2022,1,2,64,1,0,0,0
118032,2022,1,1,26,1,1,1,0
118041,2022,1,2,50,1,1,0,108189.48
118042,2022,1,2,14,1,0,0,0
118051,2022,1,2,42,1,1,0,48378.96
118052,2022,1,1,57,1,1,0,168189.48
118053,2022,1,1,16,1,0,0,0
118061,2022,1,2,88,1,0,0,0
118071,2022,1,2,65,1,0,0,0
118072,2022,1,1,66,1,0,0,0
118081,2022,1,1,58,1,1,0,38200
118082,2022,1,2,31,1,1,0,49189.48
118091,2022,1,1,52,1,1,0,71189.48
118101,2022,1,2,88,1,0,0,0
118111,2022,1,2,73,1,0,0,0
118121,2022,1,2,74,1,0,0,0
118122,2022,1,2,97,1,0,0,0
118131,2022,1,2,70,1,0,0,0
118132,2022,1,1,73,1,0,0,0
118141,2022,1,1,92,1,0,0,0
118151,2022,1,2,26,1,1,0,49189.48
118152,2022,1,1,25,1,1,0,98189.48
118161,2022,1,1,30,1,1,0,10000
118162,2022,1,1,23,1,0,0,0
118163,2022,1,2,24,1,0,0,26000
118171,2022,1,2,40,1,1,0,10000
118172,2022,1,1,57,1,1,0,12189.48
118173,2022,1,2,21,1,1,0,17189.48
118174,2022,1,1,24,1,0,0,0
118176,2022,1,2,17,1,0,0,0
118181,2022,1,2,20,1,1,0,9000
118191,2022,1,2,27,1,0,0,0
118201,2022,1,1,74,1,0,0,0
118211,2022,1,1,54,1,1,0,110044.88
118212,2022,1,2,48,1,0,0,0
118213,2022,1,2,17,1,0,0,0
118214,2022,1,2,15,1,0,0,0
118221,2022,1,1,40,1,1,0,24000
118223,2022,1,2,38,1,1,0,3189.48
118231,2022,1,1,51,1,1,0,70189.48
118232,2022,1,2,44,1,1,1,0
118233,2022,1,1,19,1,1,0,53189.48
118234,2022,1,2,18,1,0,0,0
118241,2022,1,1,72,1,1,0,11000
118242,2022,1,2,53,1,1,0,36189.48
118243,2022,1,1,31,1,0,0,0
118251,2022,1,2,38,1,0,0,0
118252,2022,1,1,28,1,0,0,0
118253,2022,1,1,19,1,1,0,4000
118261,2022,1,2,58,1,1,0,39783.88
118262,2022,1,1,22,1,1,0,11189.48
118271,2022,1,2,71,1,1,0,4437.76
118281,2022,1,1,73,1,0,0,0
118282,2022,1,2,74,1,0,0,0
118291,2022,1,1,63,1,1,0,19000
118292,2022,1,2,57,1,0,0,0
118301,2022,1,2,70,1,0,0,0
118311,2022,1,1,57,1,1,0,41189.48
118321,2022,1,2,31,1,1,0,10000
118322,2022,1,1,28,1,1,0,55189.48
118331,2022,1,2,42,1,0,0,0
118332,2022,1,1,43,1,1,0,80189.48
118341,2022,1,2,19,1,1,0,4000
118351,2022,1,2,47,1,1,0,8000
118352,2022,1,2,26,1,1,0,26989.48
118353,2022,1,1,22,1,0,0,0
118361,2022,1,1,41,1,1,0,0
118362,2022,1,2,45,1,0,0,0
118363,2022,1,1,15,1,0,0,0
118371,2022,1,2,59,1,1,0,1500
118372,2022,1,2,62,1,1,0,0
118373,2022,1,1,40,1,0,0,0
118381,2022,1,1,39,1,1,0,8000
118382,2022,1,2,79,1,0,0,0
118383,2022,1,2,26,1,1,1,0
118391,2022,1,2,55,1,1,1,0
118392,2022,1,2,27,1,1,0,16000
118393,2022,1,1,20,1,1,1,0
118401,2022,1,2,31,1,0,0,0
118402,2022,1,2,47,1,0,0,0
118403,2022,1,1,33,1,1,0,26000
118404,2022,1,1,29,1,0,0,0
118405,2022,1,1,14,1,0,0,0
118411,2022,1,2,29,1,0,0,0
118412,2022,1,1,31,1,1,0,15189.48
118421,2022,1,2,58,1,1,0,13000
118422,2022,1,1,33,1,1,0,32189.48
118423,2022,1,2,32,1,0,0,0
118424,2022,1,2,31,1,0,0,0
118431,2022,1,1,78,1,0,0,0
118441,2022,1,2,62,1,0,0,0
118451,2022,1,2,37,1,1,1,0
118452,2022,1,1,18,1,0,0,0
118453,2022,1,2,16,1,0,0,0
118461,2022,1,1,40,1,1,0,75189.48
118462,2022,1,2,29,1,0,0,0
118471,2022,1,1,35,1,1,0,56689.48
118472,2022,1,2,35,1,1,0,73189.48
118481,2022,1,1,44,1,1,0,111689.48
118482,2022,1,2,32,1,0,0,0
118491,2022,1,2,56,1,1,0,93189.48
118492,2022,1,2,28,1,1,1,0
118493,2022,1,1,21,1,0,0,0
118501,2022,1,1,85,1,0,0,0
118502,2022,1,2,83,1,0,0,0
118511,2022,1,1,74,1,0,0,0
118512,2022,1,2,74,1,0,0,0
118513,2022,1,2,46,1,0,0,0
118521,2022,1,1,62,1,0,0,0
118522,2022,1,2,84,1,0,0,0
118531,2022,1,2,37,1,1,0,69189.48
118541,2022,1,2,71,1,0,0,0
118542,2022,1,1,70,1,0,0,0
118551,2022,1,1,61,1,1,0,21189.48
118552,2022,1,2,54,1,1,0,25000
118561,2022,1,2,27,1,1,0,89189.48
118562,2022,1,1,32,1,1,0,151489.48
118571,2022,1,2,81,1,0,0,0
118581,2022,1,1,35,1,1,0,44189.48
118591,2022,1,2,44,1,1,0,965000000000000
118592,2022,1,1,39,1,1,0,82189.48
118593,2022,1,2,18,1,0,0,0
118601,2022,1,1,85,1,0,0,0
118611,2022,1,1,79,1,1,0,157000000000000
118612,2022,1,2,94,1,0,0,0
118621,2022,1,2,90,1,0,0,0
118631,2022,1,1,76,1,0,0,0
118632,2022,1,2,75,1,0,0,0
118641,2022,1,2,23,1,1,0,57189.48
118642,2022,1,1,51,1,1,1,0
118643,2022,1,1,18,1,1,1,0
118651,2022,1,1,26,1,1,0,33189.48
118652,2022,1,2,26,1,1,0,48189.48
118661,2022,1,2,28,1,1,0,76275.33
118671,2022,1,2,64,1,0,0,0
118672,2022,1,1,79,1,0,0,0
118681,2022,1,1,32,1,1,0,78189.48
118682,2022,1,2,33,1,1,0,123189.48
118691,2022,1,2,28,1,1,0,38189.48
118701,2022,1,1,59,1,1,0,965000000000000
118702,2022,1,2,51,1,1,0,147000000000000
